"Timestamp","local_timestamp_ms","clock_skew_ms","sequence_id","is_warmup","open","high","low","close","volume","taker_buy_volume","taker_sell_volume","trade_count","buy_trade_count","sell_trade_count","best_bid","best_ask","spread","mid_price","microprice","weighted_mid_price","bid_depth_top5","bid_depth_top10","bid_depth_top20","ask_depth_top5","ask_depth_top10","ask_depth_top20","cumulative_bid_volume","cumulative_ask_volume","order_book_imbalance","volume_imbalance","depth_imbalance","slope_bid","slope_ask","slope_imbalance","liquidity_pressure","queue_imbalance","order_book_pressure_ratio","aggressive_buy_volume","aggressive_sell_volume","delta_volume","cumulative_delta","trade_intensity","avg_trade_size","max_trade_size","signed_trade_flow","trade_burst_metric","trade_arrival_rate","log_return","realized_volatility","parkinson_volatility","bipower_variance","momentum_10s","price_acceleration","price_impact","micro_trend","directional_pressure","effective_spread","quoted_spread","realized_spread","kyle_lambda","amihud_illiquidity","resiliency_metric","liquidity_vacuum","vpin","toxicity_score","adverse_selection_metric","funding_rate","mark_price","index_price","mark_index_spread","open_interest","oi_change_rate","long_short_ratio","predicted_funding_rate","volatility_regime","trend_regime","ranging_regime","entropy","hurst_exponent","second_of_minute","minute_of_hour","hour_of_day","day_of_week","session_marker","book_update_count","trade_msg_count","has_gap","recovery_source","row_checksum"
1779837247000,1779837248102,0,1,true,5.723,5.723,5.723,5.723,0,0,0,0,0,0,5.722,5.724,0.002,5.723,5.7231574,5.7232113,3502.5,10055.7,27192.9,4015.7,12529.6,33943.7,27192.9,33943.7,-0.11042158,0,-0.08855673,-6.483081e-7,5.6326263e-7,-0.0000012115707,0.4447892,-0.15762712,0.8011177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,nan,0,0,0,false,0,0,nan,-0.00027722,5.721,5.727827,-0.00682684,4801437.5,0,1.8752,-0.00027722,1,1,false,0,0.5,7,14,23,1,3,3,0,false,0,1763618199
1779837248000,1779837249098,0,2,true,5.723,5.723,5.723,5.723,0,0,0,0,0,0,5.722,5.724,0.002,5.723,5.723192,5.723417,3483,9984.6,27119.8,4418.1,12785,34159.8,27119.8,34159.8,-0.11488326,0,-0.104559906,-6.496093e-7,5.6282994e-7,-0.0000012124393,0.44255838,-0.1920365,0.7939098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,nan,0,0,0,false,0,0,nan,-0.00027722,5.721,5.727827,-0.00682684,4801437.5,0,1.8752,-0.00027722,1,1,false,0,0.5,8,14,23,1,3,6,0,false,0,3437986210
1779837249000,1779837250058,0,3,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7224617,5.72295,3201.4,9716.9,26865.6,4271.5,11704.8,33008.1,26865.6,33008.1,-0.102590956,0,-0.07633505,-6.4980156e-7,5.9799095e-7,-0.0000012477925,0.4487045,0.07626393,0.8139093,0,0,0,0,0,0,0,0,0,0,-0.00008737058,0,0,0,0,-0.00008737058,87370.586,0,0,0,0.001,-0,0,0,0,false,0,0,-0,-0.00027722,5.721,5.727827,-0.00682684,4801437.5,0,1.8752,-0.00027722,1,1,false,0,0.5,9,14,23,1,3,7,0,false,0,3989078363
1779837250000,1779837251078,0,4,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7224135,5.722901,3239,9771.9,26920.6,4215.2,11635.1,32964.5,26920.6,32964.5,-0.10092494,0,-0.0688323,-6.492914e-7,5.9852925e-7,-0.0000012478206,0.44953755,0.17267844,0.81665426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00008737058,0,0,0,0,0.001,nan,0,0,0,false,0,0,nan,-0.00027722,5.721,5.727827,-0.00682684,4801437.5,0,1.8752,-0.00027722,1,1,false,0,0.5,10,14,23,1,3,6,0,false,0,194342415
1779837251000,1779837252158,0,5,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7223997,5.7228827,3239,9773,26926.7,4093.2,11521.1,32969.8,26926.7,32969.8,-0.10089237,0,-0.06230114,-6.491559e-7,5.958315e-7,-0.0000012449874,0.44955382,0.20088954,0.816708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,nan,0,0,0,false,0,0,nan,-0.00027722,5.721,5.727827,-0.00682684,4801437.5,0,1.8752,-0.00027722,1,1,false,0,0.5,11,14,23,1,3,5,0,false,0,1308792016
1779837252000,1779837253064,0,6,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7224483,5.7229686,3172.7,9706.7,26860.4,4219.4,11663.9,33112.6,26860.4,33112.6,-0.104250245,0,-0.073190935,-6.4969237e-7,5.940557e-7,-0.000001243748,0.44787487,0.10363392,0.81118363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,nan,0,0,0,false,0,0,nan,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0,0.5,12,14,23,1,3,5,0,false,0,2847678904
1779837253000,1779837254120,0,7,true,5.722,5.722,5.722,5.722,0.9,0,0.9,1,0,1,5.722,5.723,0.001,5.7225,5.7225614,5.72298,3199.5,9730,26884.7,4296.6,11741.1,33189.8,26884.7,33189.8,-0.10495468,-1,-0.08425131,-6.4963854e-7,5.9359223e-7,-0.0000012432307,0.44752267,-0.12287582,0.810029,0,0.9,-0.9,-0.9,0.032786883,0.9,0.9,-0.9,30.5,1,-0.00008737822,0,0,0,0,-0.00008737822,0.00009708691,0,0,0.001,0.001,0.001,0,0,0,false,0,0,0,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0,0.5,13,14,23,1,3,6,1,false,0,2786541140
1779837254000,1779837255032,0,8,true,5.722,5.722,5.722,5.722,47.3,0,47.3,2,0,2,5.722,5.723,0.001,5.7225,5.7228055,5.723062,3106.9,9637.4,26792.1,4466.8,12096.8,33458.2,26792.1,33458.2,-0.110640116,-1,-0.11520763,-6.5025864e-7,5.903903e-7,-0.000001240649,0.44467995,-0.61119753,0.80076337,0,47.3,-47.3,-48.2,0.09728567,23.65,46.3,-47.3,20.55801,3.058104,0,0,0,0,0,0.00008737822,0,0,0,0.001,0.001,0.007,0,0,0,false,48.2,0,0.006,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0,0.5,14,14,23,1,3,6,2,false,0,2787750863
1779837255000,1779837256130,0,9,true,5.723,5.723,5.723,5.723,2.9,2.9,0,1,1,0,5.722,5.723,0.001,5.7225,5.722749,5.7230344,3164.5,9735.7,27065.5,4303.1,11950.5,33239.4,27065.5,33239.4,-0.102378085,1,-0.08201989,-6.437598e-7,5.9226494e-7,-0.0000012360247,0.44881096,-0.49799198,0.8142596,2.9,0,2.9,-45.3,0.12688287,2.9,2.9,2.9,7.8812847,1,0.0001747488,0,0,0,0,0.0001747488,0.000060258208,0,0,0.001,0.001,-0.003,0,0,0,false,25.55,0,-0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0,0.5,15,14,23,1,3,8,1,false,0,1106771838
1779837256000,1779837257006,0,10,true,5.722,5.722,5.722,5.722,1.4,0,1.4,1,0,1,5.722,5.723,0.001,5.7225,5.722783,5.723045,3106.9,9678.1,27007.9,4352.7,12000.1,33289,27007.9,33289,-0.10416953,-1,-0.10088558,-6.437214e-7,5.9228466e-7,-0.0000012360061,0.44791523,-0.5663487,0.8113161,0,1.4,-1.4,-46.7,0.15550965,1.4,1.4,-1.4,6.4304686,1,-0.0001747488,0,0,0,0,-0.0003494976,0.00012482057,0,0,0.001,0.001,0.005,0,0,-0.5,false,17.5,0.8,0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0.67301184,0.5,16,14,23,1,3,2,1,false,0,2128807886
1779837257000,1779837258026,0,11,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.722749,5.722988,3168.6,9739.8,27090.9,4339.3,11986.7,33275.6,27090.9,33275.6,-0.10245252,0,-0.102723934,-6.4190147e-7,5.925989e-7,-0.0000012345004,0.44877374,-0.49799198,0.8141371,0,0,0,-46.7,0.15041098,0,0,0,0,0,0.00008737822,0,0,0,-0.0005,0.00026212703,87378.22,0,0,0,0.001,-0.004,0,0,-0.5,false,17.5,0.77272725,-0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0.67301184,0.5,17,14,23,1,3,8,0,false,0,2955445155
1779837258000,1779837259016,0,12,true,5.722,5.722,5.722,5.722,2.8,0,2.8,1,0,1,5.722,5.723,0.001,5.7225,5.722806,5.7229605,3190.6,9829.3,27268.4,4235.9,11865.9,33154.8,27268.4,33154.8,-0.09741954,-1,-0.086262435,-6.377707e-7,5.9336185e-7,-0.0000012311326,0.45129022,-0.61242604,0.8224571,0,2.8,-2.8,-49.5,0.17826636,2.8,2.8,-2.8,5.6095834,1,-0.00008737822,0,0,0,-0.001,-0.00017475644,0.000031206506,0,0,0.001,0.001,0.005,0,0,-0.5,false,13.825,0.6666667,0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,0.63651437,0.5,18,14,23,1,3,6,1,false,0,2854380070
1779837259000,1779837260036,0,13,true,5.723,5.727,5.723,5.725,316.9,316,0.9,6,5,1,5.725,5.726,0.001,5.7255,5.7259946,5.726109,3083.8,9576.2,26549,4603.9,12321,32537.7,26549,32537.7,-0.10135445,0.99432,-0.13135824,-6.6456664e-7,5.5664447e-7,-0.000001221211,0.44932276,-0.9893365,0.8159458,316,0.9,315.1,265.6,0.36914286,52.816666,104.3,315.1,16.25387,12.820513,0.0005241548,0,0.0004196061,0,0.0025,0.000611533,0.000001654007,0,0.49999988,0.001,0.001,0.005,0.000011284746,0,-0.5,false,74.08,1,0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,1.467734,0.5,19,14,23,1,3,9,6,false,0,3221373965
1779837260000,1779837260996,0,14,true,5.725,5.725,5.725,5.725,0.9,0,0.9,1,0,1,5.724,5.725,0.001,5.7245,5.7249665,5.7257867,2517.9,9460.7,27812.5,5498.1,12678.9,33462.9,27812.5,33462.9,-0.09221319,-1,-0.14293133,-6.463712e-7,5.5927586e-7,-0.0000012056471,0.4538934,-0.93320733,0.83114433,0,0.9,-0.9,264.7,0.38982671,0.9,0.9,-0.9,2.5652423,1,0,0,0,0,0.0025,-0.0005241548,0,0,0,0.001,0.001,-0.005,0.00001127375,0,-0.5,false,74.08,0.96428573,-0.006,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,1.012331,0.5,20,14,23,1,3,8,1,false,0,725412493
1779837261000,1779837262082,0,15,true,5.7245,5.7245,5.7245,5.7245,0,0,0,0,0,0,5.724,5.725,0.001,5.7245,5.724956,5.7258143,2516.4,9495.7,27861,5489.7,12539.5,33338,27861,33338,-0.08949493,0,-0.12977569,-6.4522953e-7,5.602978e-7,-0.0000012055274,0.45525253,-0.9118146,0.835713,0,0,0,264.7,0.3770455,0,0,0,0,0,-0.00008734006,0,0,0,0.002,-0.00008734006,87340.055,0,0,0,0.001,-0.004,0.00001127375,0,-0.5,false,74.08,0.93333334,-0.004,-0.00027722,5.721,5.727827,-0.00682684,4801415,0,1.8752,-0.00027722,1,1,false,1.012331,0.5,21,14,23,1,3,7,0,false,0,2989536416
1779837262000,1779837262994,0,16,true,5.7245,5.7245,5.7245,5.7245,0,0,0,0,0,0,5.724,5.725,0.001,5.7245,5.724902,5.725817,2520.3,9500.6,27943.3,5461.4,12513.2,33315.7,27943.3,33315.7,-0.08769976,0,-0.12283148,-6.428999e-7,5.601485e-7,-0.0000012030484,0.4561501,-0.8039718,0.8387427,0,0,0,264.7,0.36468336,0,0,0,0,0,0,0,0,0,0.002,0.00008734006,0,0,0,0,0.001,nan,0.00001127375,0,-0.5,false,74.08,0.90625,nan,-0.00027722,5.721,5.727827,-0.00682684,4801404,0,1.8752,-0.00027722,1,1,false,1.012331,0.5,22,14,23,1,3,6,0,false,0,632622615
1779837263000,1779837264080,0,17,true,5.725,5.725,5.725,5.725,2.1,2.1,0,1,1,0,5.724,5.725,0.001,5.7245,5.7249107,5.725781,2572.6,9500.6,27943.3,5511,12587.8,33396.3,27943.3,33396.3,-0.088898525,1,-0.12494703,-6.4364747e-7,5.5948226e-7,-0.0000012031297,0.45555073,-0.8211572,0.83671844,2.1,0,2.1,266.8,0.38551342,2.1,2.1,2.1,2.5939434,1,0.00008734006,0,0,0,0.003,0.00008734006,0.000041590505,0,0,0.001,0.001,0.005,0.000011293123,0,-0.5,false,61.933334,0.7647059,0.004,-0.00027722,5.721,5.727827,-0.00682684,4801404,0,1.8752,-0.00027722,1,1,false,1.0042427,0.5,23,14,23,1,3,7,1,false,0,1119939917
1779837264000,1779837265094,0,18,true,5.724,5.724,5.723,5.723,135.4,0,135.4,2,0,2,5.722,5.723,0.001,5.7225,5.722894,5.7228928,3090.7,10868.3,27991.3,4059.8,10931.5,30903.5,27991.3,30903.5,-0.049447488,-1,-0.08914066,-6.1576503e-7,6.232744e-7,-0.0000012390394,0.47527626,-0.7883959,0.9057647,0,135.4,-135.4,131.4,0.4384474,67.7,120.1,-135.4,4.5615506,499.99976,-0.000349406,0,0.000104929015,0,0.001,-0.00043674608,0.0000025805466,0,-0.999999,0.001,0.001,-0.001,0.000010668824,0,-0.5,false,72.42857,0.7777778,-0.002,-0.00027722,5.721,5.727827,-0.00682684,4801404,0,1.8752,-0.00027722,1,1,false,1.2227794,0.5,24,14,23,1,3,8,2,false,0,1482234390
1779837265000,1779837266102,0,19,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7228456,5.7229676,2984.5,10762.2,27887.2,4268.7,11219.7,31151.1,27887.2,31151.1,-0.05528445,0,-0.10449489,-6.1642334e-7,6.211339e-7,-0.0000012375573,0.47235778,-0.6910755,0.8952236,0,0,0,131.4,0.4240721,0,0,0,0,0,-0.00008737058,0,0,0,-0.0005,0.00026203544,87370.586,0,0,0,0.001,-0,0.000010668824,0,-0.5,false,72.42857,0.7631579,-0,-0.00027722,5.721,5.727827,-0.00682684,4801404,0,1.8752,-0.00027722,1,1,false,1.2554824,0.5,25,14,23,1,3,7,0,false,0,3035997128
1779837266000,1779837266996,0,20,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7228584,5.722948,2984.5,10762.2,27887.2,4147.5,11643.3,31012.7,27887.2,31012.7,-0.053064607,0,-0.10424977,-6.1642334e-7,6.231602e-7,-0.0000012395835,0.4734677,-0.71653545,0.8992187,0,0,0,131.4,0.41016808,0,0,0,0,0,0,0.00015989463,0,1.6028599e-7,0.0005,0.00008737058,0,-1,0,0,0.001,nan,0.000010668824,0,-0.5,false,72.42857,0.75,nan,-0.00027722,5.721,5.727827,-0.00682684,4801404,0,1.8752,-0.00027722,1,1,false,1.2554824,0.5,26,14,23,1,3,3,0,false,0,1335702343
1779837267000,1779837268082,0,21,true,5.7225,5.7225,5.7225,5.7225,0,0,0,0,0,0,5.722,5.723,0.001,5.7225,5.7228456,5.722955,2984.5,10762.2,27887.2,4149.2,11662.4,31031.8,27887.2,31031.8,-0.05337158,0,-0.10341703,-6.1642334e-7,6.225668e-7,-0.0000012389902,0.47331423,-0.6910755,0.89866525,0,0,0,131.4,0.39671993,0,0,0,0,0,0,0.00015989463,0,1.6028599e-7,0,0,0,-1,0,0,0.001,nan,0.000010668824,17473.354,-0.5,false,72.42857,0.7380952,nan,-0.00027722,5.721,5.727827,-0.00682684,4801348,0,1.8752,-0.00027722,1,0,false,1.2554824,0.5,27,14,23,1,3,6,0,false,0,3409445253
