"Timestamp","local_timestamp_ms","clock_skew_ms","sequence_id","is_warmup","open","high","low","close","volume","taker_buy_volume","taker_sell_volume","trade_count","buy_trade_count","sell_trade_count","best_bid","best_ask","spread","mid_price","microprice","weighted_mid_price","bid_depth_top5","bid_depth_top10","bid_depth_top20","ask_depth_top5","ask_depth_top10","ask_depth_top20","cumulative_bid_volume","cumulative_ask_volume","order_book_imbalance","volume_imbalance","depth_imbalance","slope_bid","slope_ask","slope_imbalance","liquidity_pressure","queue_imbalance","order_book_pressure_ratio","aggressive_buy_volume","aggressive_sell_volume","delta_volume","cumulative_delta","trade_intensity","avg_trade_size","max_trade_size","signed_trade_flow","trade_burst_metric","trade_arrival_rate","log_return","realized_volatility","parkinson_volatility","bipower_variance","momentum_10s","price_acceleration","price_impact","micro_trend","directional_pressure","effective_spread","quoted_spread","realized_spread","kyle_lambda","amihud_illiquidity","resiliency_metric","liquidity_vacuum","vpin","toxicity_score","adverse_selection_metric","funding_rate","mark_price","index_price","mark_index_spread","open_interest","oi_change_rate","long_short_ratio","predicted_funding_rate","volatility_regime","trend_regime","ranging_regime","entropy","hurst_exponent","second_of_minute","minute_of_hour","hour_of_day","day_of_week","session_marker","book_update_count","trade_msg_count","has_gap","recovery_source","row_checksum"
1779808152000,1779808153068,11,1,true,nan,nan,nan,nan,nan,nan,nan,25,23,2,nan,nan,-0.16,608.59,608.6094,608.604,18.713,52.749,83.396,4.934,7.998,21.746,83.396,21.746,0.5863499,0.9813355,0.44524276,-0.0025235347,0.009357539,-0.011881074,0.7931749,0.2418704,3.835004,84.712,0.798,83.914,83.914,0.8196721,3.4204,16.437,83.914,30.5,28.708134,0,0,0.00023681046,0,0,0,0,0,0.9583333,0.36,-0.16,0.76,0.00013325327,0,0,true,83.914,0,0.4,0.0000511,608.6537,608.6472,0.00644363,581456.1,0,0.642,0.0000511,1,1,false,1.3873632,0.5,12,9,15,1,2,9,25,true,0,3934745891
1779808153000,1779808154004,11,2,true,nan,nan,nan,nan,nan,nan,nan,5,4,1,nan,nan,-0.2,608.61,608.6311,608.623,5.276,12.814,52.741,4.934,7.998,25.903,52.741,25.903,0.34125936,0.79831934,0.1606355,-0.0029813156,0.008377071,-0.011358386,0.6706297,0.21096838,2.036096,4.387,0.492,3.895,87.809,0.95673203,0.9758,3.058,3.895,5.226124,5.9970016,-0.00009856425,0,0.000098658056,0,0,-0.00009856425,0.00002020173,0,-0.7,0.2,-0.2,0.65,0.0001606258,0,0,true,43.9045,0,0.45,0.0000511,608.6537,608.6472,0.00644363,581456.1,0,0.642,0.0000511,1,1,false,0.67259115,0.5,13,9,15,1,2,9,5,true,0,726456996
1779808154000,1779808155022,11,3,true,nan,nan,nan,nan,nan,nan,nan,18,12,6,nan,nan,-0.2,608.61,608.5532,608.63086,9.373,22.639,65.839,4.934,7.865,23.182,65.839,23.182,0.47917908,0.88279134,0.3068707,-0.0025973665,0.008679971,-0.011277338,0.7395895,-0.56799215,2.8400915,15.662,0.975,14.687,102.496,1.5155277,0.9242778,6.463,14.687,11.877051,25,0.00009856425,0,0.00013812809,0,0,0.0001971285,0.0000059244003,0,0.35714287,0.32,-0.2,0.77,0.0004587729,0,0,true,34.165333,0,0.45,0.0000511,608.6537,608.6472,0.00644363,581456.1,0,0.642,0.0000511,1,1,false,1.289698,0.5,14,9,15,1,2,9,18,true,0,1292050013
1779808155000,1779808156064,11,4,true,nan,nan,nan,nan,nan,nan,nan,49,24,25,nan,nan,-0.59,608.415,608.18555,608.2488,1.805,8.889,50.482,8.314,21.121,89.157,50.482,89.157,-0.27696416,0.654413,-0.41848812,-0.0027930026,0.0020613149,-0.0048543173,0.3615179,-0.7777778,0.5662147,87.894,18.36,69.534,172.03,3.0723956,2.168449,31.898,69.534,15.948466,60.07509,-0.00062440435,0,0.00051308936,0,0,-0.0007229686,0.000005876526,0,-0.53846157,0.05,-0.59,0.33,0.0033410927,0,0,true,43.0075,0,0.28,0.0000511,608.6537,608.6472,0.00644363,581456.1,0,0.642,0.0000511,1,1,false,0.7404736,0.5,15,9,15,1,2,11,49,true,0,4171236368
1779808156000,1779808157100,11,5,true,nan,nan,nan,nan,nan,nan,nan,104,20,84,nan,nan,-0.64,608.39,608.07605,608.2397,1.805,8.889,50.482,4.959,12.965,36.728,50.482,36.728,0.15771127,-0.82978684,-0.1954597,-0.0027930026,0.0057678646,-0.008560867,0.57885563,-0.981182,1.3744826,35.244,378.872,-343.628,-171.598,6.3814974,3.9818847,21.914,-343.628,16.297115,105.20939,-0.00037811845,0,0.0006815188,0,0,0.00024628593,9.130738e-7,0,-0.3188406,0.46,-0.64,0.13,0.0012181015,0,0,true,103.1316,0,-0.33,0.0000511,608.6537,608.6472,0.00644363,581456.1,0,0.642,0.0000511,1,1,false,1.219123,0.5,16,9,15,1,2,10,104,true,0,3384059161
1779808157000,1779808158008,11,6,true,nan,nan,nan,nan,nan,nan,nan,12,7,5,nan,nan,-0.64,608.39,608.07605,608.2397,1.805,8.889,50.482,4.959,12.965,20.938,50.482,20.938,0.41366565,-0.69736284,0.062122017,-0.0027930026,0.008936238,-0.0117292395,0.7068328,-0.981182,2.411023,2.869,16.091,-13.222,-184.82,6.5657105,1.58,6.504,-13.222,1.8276772,14.647137,0.00009865338,0,0.000059247395,0,0,0.00047677185,0.0000052032374,0,0.8333333,0.34,-0.64,0.01,0.002612929,0,0,true,88.14667,0,-0.33,0.0000511,608.6537,608.6472,0.00644363,581471.44,0,0.642,0.0000511,1,1,false,1.3692164,0.5,17,9,15,1,2,8,12,true,0,424503450
1779808158000,1779808158994,11,7,true,nan,nan,nan,nan,nan,nan,nan,15,1,14,nan,nan,-0.65,608.385,608.0683,608.21796,1.805,8.889,50.482,5.737,19.722,55.719,50.482,55.719,-0.049312152,-0.973265,-0.23987938,-0.0027930026,0.0032281373,-0.0060211397,0.4753439,-0.9745324,0.9060105,0.073,5.388,-5.315,-190.135,6.8422446,0.36406666,1.575,-5.315,2.192263,15.909091,-0.00031243576,0,0.0001876368,0,0,-0.00041108916,0.00005721219,0,-0.94736844,0.71,-0.65,0.39,0.001707173,0,0,true,76.31357,0,-0.32,0.0000511,608.6537,608.6472,0.00644363,581471.44,0,0.642,0.0000511,1,1,false,1.4931237,0.5,18,9,15,1,2,9,15,true,0,2824206799
1779808159000,1779808160040,11,8,true,nan,nan,nan,nan,nan,nan,nan,1,1,0,nan,nan,-0.65,608.385,608.06805,608.2412,1.805,8.889,50.482,4.767,19.484,57.499,50.482,57.499,-0.06498365,1,-0.31161037,-0.0027930026,0.0031125445,-0.005905547,0.46750817,-0.97514564,0.87796307,0.822,0,0.822,-189.313,6.650696,0.822,0.822,0.822,0.15036021,1,0.000049338454,0,0,0,0,0.00036177423,0.00006002245,0,0,0.65,-0.65,-0.33,0.0025283976,0,0,true,76.31357,0,-0.98,0.0000511,608.6537,608.6472,0.00644363,581471.44,0,0.642,0.0000511,1,1,false,1.499658,0.5,19,9,15,1,2,10,1,true,0,2382933764
1779808160000,1779808161031,11,9,true,nan,nan,nan,nan,nan,nan,nan,60,25,35,nan,nan,-0.97,608.225,607.8073,608.1473,1.805,8.889,50.482,2.537,5.695,13.606,50.482,13.606,0.57539636,-0.0047776345,0.23685953,-0.0027930026,0.017264118,-0.020057121,0.78769815,-0.86117136,3.710275,53.327,53.839,-0.512,-189.825,8.399854,1.7861,13.024,-0.512,7.142982,87.14918,-0.000328969,0,0.0003457889,0,0,-0.00037830748,0.0000030697145,0,-0.54285717,0.73,-0.97,0.73,0.0033102105,0,0,true,66.813126,0,0,0.0000511,608.6537,608.6472,0.00644363,581471.44,0,0.642,0.0000511,1,1,false,1.3851223,0.5,20,9,15,1,2,7,60,true,0,1562681834
1779808161000,1779808162063,11,10,true,nan,nan,nan,nan,nan,nan,nan,12,7,5,nan,nan,-0.97,608.225,607.8073,608.1473,1.805,8.889,50.482,2.537,6.922,24.105,50.482,24.105,0.3536407,-0.9272248,0.15903595,-0.0027930026,0.006770806,-0.009563808,0.67682034,-0.86117136,2.0942543,0.359,9.507,-9.148,-198.973,8.517891,0.8221667,4.645,-9.148,1.4087994,17.133957,0.00003290177,0,0.000039519055,0,0,0.0003618708,0.0000033348645,0,0.75,0.69,-0.97,0.69,0.0054390123,0,-0.84330416,true,60.405888,0.4,0,0.0000511,608.6537,608.6472,0.00644363,581471.44,0,0.642,0.0000511,1,1,false,1.685245,0.5,21,9,15,1,2,10,12,true,0,1910265016
